,Ticker,MarketCap
0,BTC,168257724687.0
1,ETH,102806728731.0
2,XRP,43374668640.0
3,BCH,24436786983.0
4,ADA,13201364287.0
5,NEO,9299615000.0
6,LTC,8870387453.0
7,XLM,8548576081.0
8,EOS,7406354104.0
9,XEM,6831467999.0
10,MIOTA,6227065079.0
11,DASH,5240581738.0
12,XMR,4216503548.0
13,TRX,3428689340.0
14,ICX,3059365346.0
15,QTUM,2736496062.0
16,VEN,2733033031.0
17,ETC,2654943253.0
18,PPT,2640988501.0
19,BTG,2578421422.0
20,LSK,2496417519.0
21,USDT,2008118215.0
22,XRB,1987424883.0
23,OMG,1502821477.0
24,ZEC,1174521042.0
25,STRAT,1158507863.0
26,STEEM,1108846603.0
27,BNB,1094381939.0
28,BCN,1057188866.0
29,SC,1053676643.0
30,BTS,993735494.0
31,XVG,966603495.0
32,SNT,817132349.0
33,WTC,800334503.0
34,ARDR,793441363.0
35,MKR,781229704.0
36,ZRX,776174985.0
37,WAVES,732788000.0
38,REP,717646600.0
39,KCS,708767615.0
40,VERI,694500168.0
41,DOGE,667558210.0
42,RHOC,665662453.0
43,DCR,605306272.0
44,KMD,588756392.0
45,HSR,588374066.0
46,AE,580442345.0
47,GAS,562126165.0
48,DRGN,529294323.0
49,LRC,514805677.0
50,ARK,511397635.0
51,BAT,493362000.0
52,DGB,475909092.0
53,ETN,464892182.0
54,KNC,463346647.0
55,DGD,430630000.0
56,ELF,424977500.0
57,IGNIS,416386081.0
58,QASH,404918500.0
59,PIVX,403640534.0
60,DCN,391654149.0
61,NAS,381078300.0
62,GBYTE,372013098.0
63,IOST,366216792.0
64,GNT,356292444.0
65,BTM,355167015.0
66,ZCL,350633616.0
67,FUN,338020276.0
68,AION,331202354.0
69,FCT,326717885.0
70,CND,324913832.0
71,CNX,321239213.0
72,DENT,320598687.0
73,SMART,313615403.0
74,SALT,311222790.0
75,ETHOS,310946342.0
76,PLR,310214261.0
77,R,293827006.0
78,POWR,292749387.0
79,MONA,279738905.0
80,NXT,276825881.0
81,SYS,268104540.0
82,XZC,265368795.0
83,NXS,262820268.0
84,GXS,259519200.0
85,RDD,257632807.0
86,MAID,246671386.0
87,KIN,245648537.0
88,ENG,242991551.0
89,REQ,238286778.0
90,SRN,233138963.0
91,ICN,231462986.0
92,PAY,228009897.0
93,PART,226831387.0
94,BTX,226336542.0
95,EMC,225237281.0
96,WAX,225182126.0
97,GNO,214241858.0
98,MED,212890861.0
99,NEBL,201552457.0
