date,time,open,high,low,close,volume
2017-07-31,1501545600,421,488.8,218.39,439.27,1364069.69
2017-08-01,1501632000,439.27,974.71,362.02,551.59,44939867.63
2017-08-02,1501718400,551.59,635.73,381.08,405.92,39430900.09
2017-08-03,1501804800,405.92,414.38,252.57,253.13,39012988.12
2017-08-04,1501891200,253.13,294.84,206.64,220.3,26697590.83
2017-08-05,1501977600,220.3,241.87,210.13,241.87,19175891.13
2017-08-06,1502064000,241.87,411.56,239.47,322.6,89374025.1
2017-08-07,1502150400,322.6,388.34,310.51,343.43,65405748.92
2017-08-08,1502236800,343.43,349.93,289.74,301.17,31524578.59
2017-08-09,1502323200,301.17,312.53,268.44,274.48,26331114.65
2017-08-10,1502409600,274.48,352.53,271.46,326.26,37100135.8
2017-08-11,1502496000,326.26,344.59,311.04,316,13359671.69
2017-08-12,1502582400,316,317.69,293.93,295.15,13655828.8
2017-08-13,1502668800,295.15,329.77,291.25,300.03,19118045.5
2017-08-14,1502755200,300.03,307.42,290.02,297.36,11537495.55
2017-08-15,1502841600,297.36,309.36,285.48,299.68,10407736.35
2017-08-16,1502928000,299.68,449.75,292.4,445.19,72997662.11
2017-08-17,1503014400,445.19,777.54,437.81,689.83,350422575.89
2017-08-18,1503100800,689.83,965.48,604.03,738.54,382644710.5
2017-08-19,1503187200,738.54,849.16,677.96,719.27,176097781.09
2017-08-20,1503273600,719.27,749.65,557.92,605.22,137835348.17
2017-08-21,1503360000,605.22,734.16,566.86,684.6,127212595.92
2017-08-22,1503446400,684.6,710.85,651.32,674.08,44395029.53
2017-08-23,1503532800,674.08,701.11,601.6,619.83,47944401.5
2017-08-24,1503619200,619.83,664.74,615.09,632.48,32464569.83
2017-08-25,1503705600,632.48,638.56,612.25,621.43,18170375.11
2017-08-26,1503792000,621.43,651.88,581.68,616.29,40956416.01
2017-08-27,1503878400,616.29,626.64,581.81,591.11,19001371.41
2017-08-28,1503964800,591.11,596.56,524.32,544.74,43470346.16
2017-08-29,1504051200,544.74,613.18,529.64,580.34,47761724.91
2017-08-30,1504137600,580.34,609.23,570.5,592.59,27937832.9
2017-08-31,1504224000,592.59,653.56,586.63,628.73,37807706.16
2017-09-01,1504310400,628.73,645.8,560.98,572.65,36984224.54
2017-09-02,1504396800,572.65,622.73,559.22,609.85,27470981.39
2017-09-03,1504483200,609.85,611.5,496.84,519.3,39354607.68
2017-09-04,1504569600,519.3,560.22,472.51,546.74,30106018.14
2017-09-05,1504656000,546.74,657.3,539.13,647.64,54825116.2
2017-09-06,1504742400,647.64,718.92,604.32,667.56,70423045.63
2017-09-07,1504828800,667.56,698.49,573.09,605.66,65565655.08
2017-09-08,1504915200,605.66,610.28,565.57,586.24,24260056.8
2017-09-09,1505001600,586.24,586.81,524.98,556.9,27588948.77
2017-09-10,1505088000,556.9,590.17,550.1,556.02,19801627.19
2017-09-11,1505174400,556.02,577.62,530.07,536.96,22082978.96
2017-09-12,1505260800,536.96,538.98,471.08,506.49,35647701.89
2017-09-13,1505347200,506.49,515.58,385.45,386.49,43447407.4
2017-09-14,1505433600,386.49,454.21,301.55,428.88,81380795.6
2017-09-15,1505520000,428.88,470.7,411.53,443.21,35057627.63
2017-09-16,1505606400,443.21,450.88,407.81,439.07,16667495.97
2017-09-17,1505692800,439.07,492.49,438.38,486.03,33211175.33
2017-09-18,1505779200,486.03,548.13,454.77,530.6,50064941.67
2017-09-19,1505865600,530.6,530.64,475.32,477.25,49416655.67
2017-09-20,1505952000,477.25,484.72,413.8,416.13,34350076.54
2017-09-21,1506038400,416.13,434.17,395.09,409.63,26731878.33
2017-09-22,1506124800,409.63,436.14,403.33,430.31,15542354.15
2017-09-23,1506211200,430.31,434.34,416.62,421.19,14388923.18
2017-09-24,1506297600,421.19,458.18,420.14,450.85,23480486.36
2017-09-25,1506384000,450.85,463.55,448.95,449.56,14765728.97
2017-09-26,1506470400,449.56,468.64,439.9,464.14,30195113.53
2017-09-27,1506556800,464.14,481.59,442.15,458.15,34380897.03
2017-09-28,1506643200,458.15,459.63,430.44,440.55,21350204.92
2017-09-29,1506729600,440.55,454.85,433.77,435.95,24220359.29
2017-09-30,1506816000,435.95,440.56,417.1,418.05,24068045.14
2017-10-01,1506902400,418.05,432.22,410.32,419.68,30198291.7
2017-10-02,1506988800,419.68,420.69,393.03,401.41,17248218.77
2017-10-03,1507075200,401.41,403.22,351.3,355.75,46419226.31
2017-10-04,1507161600,355.75,368.14,343.72,354.4,38188747.04
2017-10-05,1507248000,354.4,374.54,352.91,363.22,19726320.95
2017-10-06,1507334400,363.22,368.17,354.21,359.81,11726397.59
2017-10-07,1507420800,359.81,363.79,335.7,343.52,22147895.06
2017-10-08,1507507200,343.52,343.95,282.18,312.43,42738393.43
2017-10-09,1507593600,312.43,350.11,304.52,317.19,40789265.44
2017-10-10,1507680000,317.19,320.54,309.23,314.21,19338916.48
2017-10-11,1507766400,314.21,331.11,306.25,310.56,32051057.84
2017-10-12,1507852800,310.56,324.32,291.98,320.11,36812373.16
2017-10-13,1507939200,320.11,327.54,314.65,321.67,21544074.06
2017-10-14,1508025600,321.67,323.38,307.61,314.1,11896226.69
2017-10-15,1508112000,314.05,317.85,310.07,313.94,8702010.54
2017-10-16,1508198400,313.99,399.86,308.23,367.84,88485919.9
2017-10-17,1508284800,367.94,374.16,305.96,338.72,40142126.1
2017-10-18,1508371200,338.77,339,323.81,329.66,17971549.74
2017-10-19,1508457600,329.6,333.91,320.67,326.03,14375667.89
2017-10-20,1508544000,326.15,329.13,313.13,322.12,10098593.04
2017-10-21,1508630400,321.94,358.27,318.36,325.88,31515652.72
2017-10-22,1508716800,324.88,329.97,300.26,312.05,20958214.24
2017-10-23,1508803200,312.05,337.42,303.73,322.28,25115720.96
2017-10-24,1508889600,322.72,331.41,315.28,329.47,11348229.55
2017-10-25,1508976000,329.31,350.73,325.66,335.68,23659411.7
2017-10-26,1509062400,335.75,373.46,335.63,363.84,45524489.34
2017-10-27,1509148800,363.82,420.87,363.13,417.22,67773673.63
2017-10-28,1509235200,416.77,523.08,400.41,451.91,259090603.37
2017-10-29,1509321600,451.91,482.58,416.06,444.93,87034115.9
2017-10-30,1509408000,444.93,456.3,426.3,435.48,43638797.69
2017-10-31,1509494400,435.48,546.11,434.45,529.88,122331291.42
2017-11-01,1509580800,530.24,593.68,492.39,562.79,170606048.18
2017-11-02,1509667200,563.21,686.21,558.53,626.04,212978833.44
2017-11-03,1509753600,626.02,641.55,563.07,614.26,136414146.92
2017-11-04,1509840000,614.26,637.29,570.83,625.72,88707513
2017-11-05,1509926400,625.72,656.75,588.18,588.68,99875447.46
2017-11-06,1510012800,588.55,617.44,584.38,603.26,43387451.36
2017-11-07,1510099200,603.17,644.2,522.79,617.41,129168410.93
2017-11-08,1510185600,617,675.39,612.32,650.09,88271349.36
2017-11-09,1510272000,650.09,1029.27,647.39,995.4,562027429.83
2017-11-10,1510358400,989.87,1414.14,897.92,1325.56,404695851.15
2017-11-11,1510444800,1325.56,2694.37,1187.01,1374.39,877406443.96
2017-11-12,1510531200,1369.5,1515.47,1012.22,1346.96,361634817.91
2017-11-13,1510617600,1346.96,1374.76,1186.56,1251.63,165309100.46
2017-11-14,1510704000,1251.62,1318.8,1164.95,1187.03,135275562.63
2017-11-15,1510790400,1185.84,1193.4,873.44,896.51,203434765.52
2017-11-16,1510876800,897.76,1209.41,856.95,1175.54,246137619.18
2017-11-17,1510963200,1177.05,1371.18,1174.86,1243.86,237178090.81
2017-11-18,1511049600,1242.89,1257.17,1132.28,1176.66,114092155.08
2017-11-19,1511136000,1177.07,1252.75,1170.82,1245.28,75604482.13
2017-11-20,1511222400,1245.28,1247.73,1146.25,1169.9,87834756.56
2017-11-21,1511308800,1169.9,1346.06,1164.3,1298.62,135737842.08
2017-11-22,1511395200,1297.83,1663.3,1293.66,1662.21,301664725.36
2017-11-23,1511481600,1662.4,1765.76,1529.13,1625.05,265161800.14
2017-11-24,1511568000,1625.05,1635.9,1517.64,1546.22,168521398.64
2017-11-25,1511654400,1546.46,1729,1528.69,1719.36,73523501.34
2017-11-26,1511740800,1718.73,1720.27,1557.31,1587.66,162585449.5
2017-11-27,1511827200,1587.58,1592.39,1469.1,1481.93,149808661.02
2017-11-28,1511913600,1481.92,1627.86,1277.59,1333.15,262656502.72
2017-11-29,1512000000,1333.52,1415.75,1174.84,1318.42,150181384.27
2017-11-30,1512086400,1318.42,1451.12,1243.5,1426.5,128160246.64
2017-12-01,1512172800,1426.57,1464.77,1371.13,1390.58,65529684.57
2017-12-02,1512259200,1390.92,1621.91,1378.47,1511.46,170307885.53
2017-12-03,1512345600,1511.37,1543.78,1438.56,1540.7,91600694.31
2017-12-04,1512432000,1540.64,1581.8,1410.56,1421.42,113943413.18
2017-12-05,1512518400,1421.41,1461.22,1309.53,1349.75,129572220.35
2017-12-06,1512604800,1349.74,1363.09,1217.38,1230,156825923.82
2017-12-07,1512691200,1229.9,1560.71,1137.42,1383.3,281476871.56
2017-12-08,1512777600,1383.33,1466.48,1305.28,1369.36,116894421.1
