,Ticker,MarketCap
0,BTC,170151556678.0
1,ETH,104234481555.0
2,XRP,44106838439.0
3,BCH,24912532404.0
4,ADA,13790945871.0
5,NEO,9508135000.0
6,LTC,9089747498.0
7,XLM,8749366068.0
8,EOS,7374103699.0
9,XEM,6988418999.0
10,MIOTA,6167110611.0
11,DASH,5313679178.0
12,XMR,4292493409.0
13,TRX,3534708300.0
14,ICX,3152450126.0
15,QTUM,2756722655.0
16,ETC,2699947203.0
17,VEN,2685807474.0
18,BTG,2672551888.0
19,LSK,2551736989.0
20,PPT,2473027223.0
21,USDT,2216772953.0
22,XRB,2138541768.0
23,OMG,1522076906.0
24,ZEC,1216650357.0
25,STRAT,1182189881.0
26,STEEM,1175832677.0
27,BNB,1113976810.0
28,BCN,1113788345.0
29,SC,1044147913.0
30,BTS,1024663172.0
31,XVG,994343213.0
32,ARDR,850987730.0
33,SNT,847807955.0
34,WTC,804221109.0
35,ZRX,800077749.0
36,MKR,789996174.0
37,WAVES,760905000.0
38,REP,749810600.0
39,VERI,731096650.0
40,KCS,722344869.0
41,DOGE,680637218.0
42,RHOC,671081812.0
43,KMD,625895821.0
44,HSR,621658337.0
45,DCR,594651408.0
46,GAS,582578866.0
47,AE,572251675.0
48,LRC,546182382.0
49,ARK,536396580.0
50,DRGN,525892041.0
51,BAT,509349000.0
52,DGB,494391488.0
53,KNC,483029279.0
54,IGNIS,471479964.0
55,ETN,469637810.0
56,DGD,458926000.0
57,ELF,434930000.0
58,QASH,431319000.0
59,PIVX,422861014.0
60,NAS,410926700.0
61,DCN,409831064.0
62,GBYTE,383576768.0
63,IOST,380361450.0
64,GNT,380166519.0
65,BTM,370540527.0
66,ZCL,357484913.0
67,FUN,351273555.0
68,CND,344787334.0
69,DENT,341388758.0
70,AION,340151677.0
71,CNX,338069537.0
72,FCT,335553936.0
73,SALT,327982568.0
74,SMART,323543255.0
75,ETHOS,321822515.0
76,POWR,308741051.0
77,PLR,298995095.0
78,R,295000108.0
79,GXS,286708200.0
80,MONA,284622876.0
81,NXT,282396304.0
82,SYS,280568223.0
83,NXS,269900518.0
84,RDD,267286948.0
85,XZC,266026273.0
86,MAID,261366667.0
87,REQ,252091804.0
88,ENG,251951686.0
89,BTX,251308536.0
90,PAY,245771968.0
91,KIN,245038366.0
92,ICN,242410762.0
93,SRN,234050195.0
94,PART,232835013.0
95,WAX,228075769.0
96,MED,227514541.0
97,EMC,216877682.0
98,GNO,216692943.0
99,LINK,208872300.0
