date,time,open,high,low,close,volume
2017-06-28,1498694400,0.85,0.9845,0.6,0.85,13984.83
2017-06-29,1498780800,0.85,1.91,0.65,0.912,22117.66
2017-06-30,1498867200,0.912,1.35,0.8,1.05,125944.71
2017-07-01,1498953600,1.05,3.88,0.9455,3,7026243.78
2017-07-02,1499040000,3,6.9,2.5,4.2,21951537.56
2017-07-03,1499126400,4.2,4.45,2.56,3.24,18817513.89
2017-07-04,1499212800,3.24,3.35,2.61,2.86,8117576.76
2017-07-05,1499299200,2.86,3.55,2.83,3.23,10051055.11
2017-07-06,1499385600,3.23,3.33,2.62,2.65,7465810.66
2017-07-07,1499472000,2.65,2.76,2.05,2.37,8588127.54
2017-07-08,1499558400,2.37,2.51,2.07,2.22,5414423.53
2017-07-09,1499644800,2.22,2.25,1.44,1.7,7816152.14
2017-07-10,1499731200,1.7,1.84,1.4,1.53,8732379.96
2017-07-11,1499817600,1.53,2.07,1.41,1.96,6247001.72
2017-07-12,1499904000,1.96,2.02,1.58,1.71,3892904.76
2017-07-13,1499990400,1.71,1.71,1.46,1.51,3712786.63
2017-07-14,1500076800,1.51,1.52,1.28,1.29,4110173.01
2017-07-15,1500163200,1.29,1.37,1.12,1.22,3648786.36
2017-07-16,1500249600,1.22,1.59,1.2,1.51,4910881.48
2017-07-17,1500336000,1.51,1.78,1.44,1.67,5033825.27
2017-07-18,1500422400,1.67,1.8,1.39,1.45,4576710.7
2017-07-19,1500508800,1.45,1.79,1.41,1.71,3412364.43
2017-07-20,1500595200,1.71,1.98,1.68,1.79,4266150.4
2017-07-21,1500681600,1.79,2.08,1.77,2.03,3886531.34
2017-07-22,1500768000,2.03,2.18,1.8,1.91,5162630.73
2017-07-23,1500854400,1.91,1.99,1.81,1.9,3396305.02
2017-07-24,1500940800,1.9,1.91,1.53,1.67,5017566.25
2017-07-25,1501027200,1.67,1.74,1.49,1.66,4538640.43
2017-07-26,1501113600,1.66,1.94,1.64,1.91,5308046.55
2017-07-27,1501200000,1.91,1.98,1.77,1.8,5264663.52
2017-07-28,1501286400,1.8,1.87,1.6,1.81,4810950.06
2017-07-29,1501372800,1.81,1.89,1.69,1.79,3085982.59
2017-07-30,1501459200,1.79,1.81,1.64,1.72,3919388.58
2017-07-31,1501545600,1.72,1.83,1.68,1.77,5236301.31
2017-08-01,1501632000,1.77,1.93,1.69,1.76,3549752.39
2017-08-02,1501718400,1.76,1.81,1.69,1.78,2981679.87
2017-08-03,1501804800,1.78,1.85,1.7,1.78,3395697.49
2017-08-04,1501891200,1.78,1.96,1.72,1.86,5778221.2
2017-08-05,1501977600,1.86,1.88,1.75,1.76,4030809
2017-08-06,1502064000,1.76,1.87,1.7,1.83,5206772.94
2017-08-07,1502150400,1.83,1.98,1.79,1.86,6442701.97
2017-08-08,1502236800,1.86,1.98,1.78,1.82,4507591.73
2017-08-09,1502323200,1.82,1.91,1.79,1.84,4646113.72
2017-08-10,1502409600,1.84,1.87,1.7,1.76,6178302.06
2017-08-11,1502496000,1.76,1.83,1.6,1.65,4966141.68
2017-08-12,1502582400,1.65,1.69,1.51,1.59,5671503.7
2017-08-13,1502668800,1.59,1.69,1.51,1.61,4853686.68
2017-08-14,1502755200,1.61,1.72,1.57,1.62,5240985.67
2017-08-15,1502841600,1.62,1.64,1.55,1.59,4261201.18
2017-08-16,1502928000,1.59,1.61,1.49,1.52,5121019.91
2017-08-17,1503014400,1.52,1.53,1.35,1.4,4806175.24
2017-08-18,1503100800,1.4,1.44,1.29,1.39,3802323.95
2017-08-19,1503187200,1.39,1.42,1.33,1.36,3418818.62
2017-08-20,1503273600,1.36,1.39,1.31,1.33,4382936.64
2017-08-21,1503360000,1.33,1.33,1.24,1.27,4568631.88
2017-08-22,1503446400,1.27,1.54,1.26,1.42,8702128.78
2017-08-23,1503532800,1.42,1.42,1.33,1.37,3807187.79
2017-08-24,1503619200,1.37,1.44,1.33,1.37,4134960.74
2017-08-25,1503705600,1.37,1.39,1.33,1.36,3183819.08
2017-08-26,1503792000,1.36,1.38,1.32,1.34,3134463.2
2017-08-27,1503878400,1.34,1.36,1.29,1.33,3538019.21
2017-08-28,1503964800,1.33,1.38,1.31,1.32,4410672.73
2017-08-29,1504051200,1.32,1.35,1.22,1.25,5856106.4
2017-08-30,1504137600,1.25,1.35,1.25,1.34,6523912.58
2017-08-31,1504224000,1.34,1.35,1.28,1.32,5539771.2
2017-09-01,1504310400,1.32,1.44,1.19,1.24,5435995.92
2017-09-02,1504396800,1.24,1.33,1.21,1.3,4887793.51
2017-09-03,1504483200,1.3,1.3,0.8219,0.9142,11774351.97
2017-09-04,1504569600,0.9142,0.9777,0.7502,0.923,7729943.79
2017-09-05,1504656000,0.923,1.16,0.856,0.9106,11989392.88
2017-09-06,1504742400,0.9106,1.02,0.852,0.9828,10287229.43
2017-09-07,1504828800,0.9828,0.9912,0.7804,0.8421,8815302.19
2017-09-08,1504915200,0.8421,0.8487,0.7577,0.8174,3424553.48
2017-09-09,1505001600,0.8174,0.8193,0.6992,0.745,3960901.73
2017-09-10,1505088000,0.745,0.764,0.7101,0.735,2765708.94
2017-09-11,1505174400,0.735,0.8944,0.729,0.859,6731634.24
2017-09-12,1505260800,0.859,0.8595,0.6603,0.7272,5613781.61
2017-09-13,1505347200,0.7272,0.7642,0.5207,0.5806,6929316.48
2017-09-14,1505433600,0.5806,0.6782,0.5149,0.6511,4543809.26
2017-09-15,1505520000,0.6511,0.6798,0.5781,0.624,2166344.11
2017-09-16,1505606400,0.624,0.649,0.5678,0.6233,3524669.55
2017-09-17,1505692800,0.6233,0.7075,0.6229,0.7049,3151410.08
2017-09-18,1505779200,0.7049,0.7128,0.6465,0.6493,2555517.93
2017-09-19,1505865600,0.6493,0.6673,0.6152,0.6166,3416422.01
2017-09-20,1505952000,0.6166,0.6293,0.5434,0.5671,4113626.28
2017-09-21,1506038400,0.5671,0.5793,0.5312,0.5659,2609360.26
2017-09-22,1506124800,0.5659,0.6048,0.5579,0.578,2705869.15
2017-09-23,1506211200,0.578,0.5861,0.5415,0.5454,3208145.88
2017-09-24,1506297600,0.5454,0.5779,0.5245,0.5688,3122841.2
2017-09-25,1506384000,0.5688,0.5854,0.5511,0.5614,3111743.37
