date,time,open,high,low,close,volume
2015-08-06,1438905600,0.6747,3,0.6747,3,371.79
2015-08-07,1438992000,3,3,0.15,1.2,1438.16
2015-08-08,1439078400,1.2,1.2,1.2,1.2,0
2015-08-09,1439164800,1.2,1.2,1.2,1.2,0
2015-08-10,1439251200,1.2,1.2,0.6504,0.99,7419.73
2015-08-11,1439337600,0.99,1.29,0.905,1.29,2376.28
2015-08-12,1439424000,1.29,1.88,1.26,1.88,4923.22
2015-08-13,1439510400,1.88,2.1,1.79,1.79,11070.41
2015-08-14,1439596800,1.79,1.79,1.5,1.79,14812.75
2015-08-15,1439683200,1.79,1.79,0.5,1.37,10794.95
2015-08-16,1439769600,1.37,1.59,1.25,1.3,6063.99
2015-08-17,1439856000,1.3,1.36,1.15,1.36,2867.74
2015-08-18,1439942400,1.36,1.36,0.99,1.24,4769.3
2015-08-19,1440028800,1.24,1.52,1.24,1.52,1771.6
2015-08-20,1440115200,1.52,1.53,1.44,1.44,9197.39
2015-08-21,1440201600,1.44,1.44,1.4,1.4,321.76
2015-08-22,1440288000,1.4,1.4,1.31,1.35,438.75
2015-08-23,1440374400,1.35,1.35,1.24,1.24,6460.83
2015-08-24,1440460800,1.24,1.28,1.22,1.27,1188.35
2015-08-25,1440547200,1.27,1.27,1.08,1.18,2337.47
2015-08-26,1440633600,1.18,1.19,1.14,1.14,269.07
2015-08-27,1440720000,1.14,1.3,1.14,1.3,26922.13
2015-08-28,1440806400,1.3,1.3,1.15,1.18,383.37
2015-08-29,1440892800,1.18,1.35,1.17,1.32,10975.8
2015-08-30,1440979200,1.32,1.32,0.9,1.31,3959.42
2015-08-31,1441065600,1.31,1.38,1.31,1.36,1220.61
2015-09-01,1441152000,1.36,1.37,1.14,1.14,698.71
2015-09-02,1441238400,1.14,1.33,1.14,1.23,3717.92
2015-09-03,1441324800,1.28,1.4,1.28,1.35,18.76
2015-09-04,1441411200,1.23,1.37,1.23,1.37,10437.44
2015-09-05,1441497600,1.37,1.39,1.34,1.34,145.64
2015-09-06,1441584000,1.34,1.34,1.28,1.28,526.2
2015-09-07,1441670400,1.28,1.28,1.26,1.26,103.93
2015-09-08,1441756800,1.26,1.26,1.21,1.21,27.57
2015-09-09,1441843200,1.21,1.21,1.12,1.19,3361.62
2015-09-10,1441929600,1.19,1.19,0.9242,0.9242,3066.25
2015-09-11,1442016000,0.9242,1.15,0.9242,1.15,513.1
2015-09-12,1442102400,1.15,1.15,0.8837,0.8856,3817.24
2015-09-13,1442188800,0.8856,0.9622,0.885,0.955,805.59
2015-09-14,1442275200,0.955,1,0.804,0.95,2273.61
2015-09-15,1442361600,0.95,0.9563,0.9363,0.9363,47.63
2015-09-16,1442448000,0.9363,0.9363,0.8238,0.875,129.7
2015-09-17,1442534400,0.875,0.88,0.8523,0.8523,593.31
2015-09-18,1442620800,0.8523,0.89,0.8013,0.89,3.59
2015-09-19,1442707200,0.89,0.89,0.88,0.8871,12.33
2015-09-20,1442793600,0.8871,0.95,0.8871,0.9412,171.52
2015-09-21,1442880000,0.9412,0.9412,0.8059,0.8059,175.81
2015-09-22,1442966400,0.8059,0.91,0.8059,0.91,13.25
2015-09-23,1443052800,0.91,0.91,0.8,0.8,568.89
2015-09-24,1443139200,0.8,0.8,0.6823,0.6823,2184.33
2015-09-25,1443225600,0.6823,0.7703,0.6805,0.7703,58.79
2015-09-26,1443312000,0.7703,0.7703,0.7007,0.7008,10.93
2015-09-27,1443398400,0.7008,0.7047,0.6,0.6,3491.1
2015-09-28,1443484800,0.6,0.6816,0.5,0.6816,11590.73
2015-09-29,1443571200,0.6816,0.74,0.5046,0.7137,529.45
2015-09-30,1443657600,0.7137,0.7137,0.6545,0.6548,457.44
2015-10-01,1443744000,0.6548,0.666,0.6548,0.6647,266.64
2015-10-02,1443830400,0.6647,0.6796,0.6647,0.6796,34.43
2015-10-03,1443916800,0.6796,0.6747,0.6095,0.6095,533.8
2015-10-04,1444003200,0.6095,0.6095,0.6078,0.6078,35.41
2015-10-05,1444089600,0.6078,0.6511,0.6091,0.6511,15.52
2015-10-06,1444176000,0.6511,0.611,0.6,0.6,1236.98
2015-10-07,1444262400,0.6,0.64,0.6,0.62,3673.39
2015-10-08,1444348800,0.62,0.6352,0.5701,0.6352,1298.61
2015-10-09,1444435200,0.75,0.75,0.6351,0.6351,0
2015-10-10,1444521600,0.6352,0.5993,0.5993,0.5993,8.63
2015-10-11,1444608000,0.5993,0.639,0.63,0.63,13.34
2015-10-12,1444694400,0.63,0.65,0.6016,0.6017,471.4
2015-10-13,1444780800,0.6017,0.6017,0.5,0.5,1538.06
2015-10-14,1444867200,0.5,0.56,0.4832,0.56,128.6
2015-10-15,1444953600,0.56,0.5622,0.525,0.525,210.97
2015-10-16,1445040000,0.525,0.54,0.52,0.523,855.31
2015-10-17,1445126400,0.523,0.52,0.505,0.505,534.99
2015-10-18,1445212800,0.505,0.505,0.4821,0.5,780.79
2015-10-19,1445299200,0.5,0.4805,0.44,0.44,682.42
2015-10-20,1445385600,0.44,0.4719,0.42,0.42,707.15
2015-10-21,1445472000,0.42,0.609,0.411,0.609,1759.69
2015-10-22,1445558400,0.609,0.609,0.5,0.5649,2166.11
2015-10-23,1445644800,0.5649,0.5561,0.51,0.5561,156.31
2015-10-24,1445731200,0.5561,0.67,0.5875,0.62,902.43
2015-10-25,1445817600,0.62,0.706,0.62,0.706,1190.13
2015-10-26,1445904000,0.706,0.901,0.7012,0.83,1738.7
2015-10-27,1445990400,0.83,1.01,0.82,0.99,4611.9
2015-10-28,1446076800,0.99,1.2,0.9717,1.12,4937.61
2015-10-29,1446163200,1.12,1.34,1.12,1.14,4346.06
2015-10-30,1446249600,1.14,1.14,0.8676,0.8676,804.5
2015-10-31,1446336000,0.8676,0.99,0.8676,0.99,176.28
2015-11-01,1446422400,0.99,1.06,0.9753,0.9878,7192.3
2015-11-02,1446508800,0.9878,1.06,0.8425,1.06,6124.85
2015-11-03,1446595200,1.06,1.06,0.7987,0.799,5189.9
2015-11-04,1446681600,0.799,1,0.799,0.8764,1078.04
2015-11-05,1446768000,0.8764,0.9899,0.79,0.9899,3121.82
2015-11-06,1446854400,0.9899,0.93,0.8647,0.93,1195.35
2015-11-07,1446940800,0.93,1,0.8945,1,3067.91
2015-11-08,1447027200,1,1.08,0.89,0.998,8903.45
2015-11-09,1447113600,0.998,1,0.9,0.9,7531.93
2015-11-10,1447200000,0.9,0.94,0.73,0.75,9539.72
2015-11-11,1447286400,0.75,0.9,0.75,0.88,2032.79
2015-11-12,1447372800,0.88,0.9,0.8395,0.9,1625.35
2015-11-13,1447459200,0.9,0.91,0.8736,0.88,469.05
2015-11-14,1447545600,0.88,0.9193,0.8746,0.9193,770.24
2015-11-15,1447632000,0.9193,0.925,0.6612,0.925,2699.37
2015-11-16,1447718400,0.925,1,0.9224,1,9189.91
2015-11-17,1447804800,1,1,0.95,0.9973,3299.12
2015-11-18,1447891200,0.9973,1,0.92,0.94,1221.53
2015-11-19,1447977600,0.94,0.94,0.91,0.92,154.39
2015-11-20,1448064000,0.92,0.96,0.92,0.96,378
2015-11-21,1448150400,0.96,0.97,0.8827,0.97,236.45
2015-11-22,1448236800,0.97,0.92,0.92,0.92,775.88
2015-11-23,1448323200,0.92,0.95,0.91,0.91,544.62
2015-11-24,1448409600,0.91,0.9126,0.8674,0.87,2775.34
2015-11-25,1448496000,0.87,0.91,0.8155,0.86,4777.98
2015-11-26,1448582400,0.86,0.89,0.88,0.88,719.18
2015-11-27,1448668800,0.88,0.91,0.88,0.91,968.33
2015-11-28,1448755200,0.91,0.91,0.85,0.87,2380.31
2015-11-29,1448841600,0.87,0.88,0.8674,0.88,394.73
2015-11-30,1448928000,0.88,0.8885,0.8423,0.87,2502.08
2015-12-01,1449014400,0.87,0.87,0.8,0.82,3243.49
2015-12-02,1449100800,0.82,0.83,0.7979,0.83,905.48
2015-12-03,1449187200,0.83,0.84,0.8246,0.84,527.97
2015-12-04,1449273600,0.84,0.8699,0.8351,0.8699,785.96
2015-12-05,1449360000,0.8699,0.87,0.825,0.825,765.93
2015-12-06,1449446400,0.825,0.825,0.7829,0.79,1325.08
2015-12-07,1449532800,0.79,0.898,0.7796,0.8102,5379.11
2015-12-08,1449619200,0.8102,0.8533,0.761,0.8051,7556.91
2015-12-09,1449705600,0.8051,0.8683,0.7797,0.8437,5897.28
2015-12-10,1449792000,0.8437,0.9,0.77,0.8998,5965.49
2015-12-11,1449878400,0.8998,0.96,0.8998,0.96,5089.12
2015-12-12,1449964800,0.96,0.9749,0.8835,0.9199,980.32
2015-12-13,1450051200,0.9199,0.99,0.9628,0.99,4533.37
2015-12-14,1450137600,0.99,1,0.96,1,8124.77
2015-12-15,1450224000,1,1.1,0.8,0.803,5846.17
2015-12-16,1450310400,0.803,0.9701,0.803,0.94,576.1
2015-12-17,1450396800,0.94,0.94,0.9,0.9,376.47
2015-12-18,1450483200,0.9,0.9193,0.8935,0.8935,2153.11
2015-12-19,1450569600,0.8935,1.07,0.8935,1.07,1380.78
2015-12-20,1450656000,1.07,1.07,0.91,0.91,2543.95
2015-12-21,1450742400,0.91,0.9999,0.88,0.88,6918.73
2015-12-22,1450828800,0.88,0.9897,0.87,0.8709,498.47
2015-12-23,1450915200,0.8709,0.8899,0.85,0.87,1216.12
2015-12-24,1451001600,0.87,0.88,0.8569,0.88,313.7
2015-12-25,1451088000,0.88,1,0.85,0.853,2673.21
2015-12-26,1451174400,0.853,0.918,0.84,0.918,1168.48
2015-12-27,1451260800,0.918,0.918,0.84,0.8749,3616.85
2015-12-28,1451347200,0.8749,0.89,0.8433,0.86,458.85
2015-12-29,1451433600,0.86,0.929,0.86,0.8925,3942.3
2015-12-30,1451520000,0.8925,0.9666,0.8925,0.9488,766.98
2015-12-31,1451606400,0.9488,0.9488,0.9184,0.92,43.41
2016-01-01,1451692800,0.92,0.9547,0.92,0.9547,68.51
2016-01-02,1451779200,0.9547,0.97,0.9506,0.96,485.22
2016-01-03,1451865600,0.96,0.9644,0.9186,0.95,787.29
2016-01-04,1451952000,0.95,0.9599,0.9409,0.9426,735.99
2016-01-05,1452038400,0.9426,0.952,0.9292,0.95,1053.39
2016-01-06,1452124800,0.95,0.96,0.93,0.94,1618.85
2016-01-07,1452211200,0.94,0.985,0.94,0.985,6900.86
2016-01-08,1452297600,0.985,0.998,0.9654,0.985,3030.57
2016-01-09,1452384000,0.985,1,0.9902,1,1681.59
2016-01-10,1452470400,1,1.1,1,1.08,8945.11
2016-01-11,1452556800,1.08,1.25,1.05,1.22,27407.51
2016-01-12,1452643200,1.22,1.22,1.07,1.14,9029.78
2016-01-13,1452729600,1.14,1.16,1.1,1.16,2056.76
2016-01-14,1452816000,1.16,1.33,1.16,1.2,8843.4
2016-01-15,1452902400,1.2,1.32,1.2,1.22,8316.43
2016-01-16,1452988800,1.22,1.31,1.21,1.31,2321.83
2016-01-17,1453075200,1.31,1.55,1.31,1.47,49371.88
2016-01-18,1453161600,1.47,1.47,1.22,1.22,4079.11
2016-01-19,1453248000,1.22,1.61,1.22,1.54,7820.16
2016-01-20,1453334400,1.54,1.61,1.4,1.54,39665.92
2016-01-21,1453420800,1.54,1.66,1.42,1.52,11707.58
2016-01-22,1453507200,1.52,2.03,1.39,2.03,50006.7
2016-01-23,1453593600,2.03,2.3,1.1,2.1,130458.32
2016-01-24,1453680000,2.1,2.88,2.05,2.5,52226.03
2016-01-25,1453766400,2.5,2.8,2.25,2.3,117514.72
2016-01-26,1453852800,2.3,2.8,1.88,2.42,39261.18
2016-01-27,1453939200,2.42,2.61,2.24,2.55,15510.81
2016-01-28,1454025600,2.55,2.61,2.21,2.41,67942.62
2016-01-29,1454112000,2.41,2.6,2.37,2.44,8531.53
2016-01-30,1454198400,2.44,2.54,2.2,2.2,39324.61
2016-01-31,1454284800,2.2,2.32,2,2.17,27808.17
2016-02-01,1454371200,2.17,2.45,2.12,2.45,20326.35
2016-02-02,1454457600,2.45,2.54,2.3,2.53,16849.92
2016-02-03,1454544000,2.53,2.79,2.5,2.57,37881.24
2016-02-04,1454630400,2.57,2.59,2.47,2.56,26847.76
2016-02-05,1454716800,2.56,2.57,2.48,2.53,14564.38
2016-02-06,1454803200,2.53,3,2.51,3,50607.27
2016-02-07,1454889600,3,3.24,2.75,3.16,68693.75
2016-02-08,1454976000,3.16,3.97,3.14,3.76,112281
2016-02-09,1455062400,3.76,4.98,3.5,4.35,420132.78
2016-02-10,1455148800,4.35,6.38,3.44,6.38,237406.57
2016-02-11,1455235200,6.38,6.47,5.05,5.27,329698.23
2016-02-12,1455321600,5.27,5.8,4.07,5.22,309173.66
2016-02-13,1455408000,5.22,5.41,4.5,5.2,105581.06
2016-02-14,1455494400,5.2,5.98,4.5,5.22,157021.98
2016-02-15,1455580800,5.22,5.44,4,4.25,149224.59
2016-02-16,1455667200,4.25,4.78,3.5,3.86,194919.64
2016-02-17,1455753600,3.86,4.75,3.32,4.36,160004.28
2016-02-18,1455840000,4.36,4.75,4.06,4.45,67845.42
2016-02-19,1455926400,4.45,4.72,4.01,4.37,59998.66
2016-02-20,1456012800,4.37,4.63,4,4.63,96725.16
2016-02-21,1456099200,4.63,5.84,4.5,5.6,184739.37
2016-02-22,1456185600,5.6,6,5.32,5.7,167226.88
2016-02-23,1456272000,5.7,6.5,5.51,6.23,203972.45
2016-02-24,1456358400,6.23,6.64,5.55,5.93,301845.82
2016-02-25,1456444800,5.93,6.29,5.71,6.03,94076.51
2016-02-26,1456531200,6.03,6.5,5.75,6.31,190116.54
2016-02-27,1456617600,6.31,6.54,6.15,6.5,88226.81
2016-02-28,1456704000,6.5,6.62,6,6.35,104433.56
2016-02-29,1456790400,6.35,7.6,6.25,7.59,429220.92
2016-03-01,1456876800,7.59,9.9,7.04,8.7,467357.43
2016-03-02,1456963200,8.7,9.94,8.3,9.35,862559.89
2016-03-03,1457049600,9.35,9.96,8.27,9.96,908225.64
2016-03-04,1457136000,9.96,12,9.75,11,1726260.37
2016-03-05,1457222400,11,11.9,9.75,10.98,845841.96
2016-03-06,1457308800,10.98,11.47,9.06,9.5,732233.35
2016-03-07,1457395200,9.5,10.89,8.49,9.88,592001.58
2016-03-08,1457481600,9.88,12,9.6,11.55,568223.02
2016-03-09,1457568000,11.55,12.05,10.25,11.11,749105.04
2016-03-10,1457654400,11.11,11.62,10.4,11.25,332692.07
2016-03-11,1457740800,11.25,13.48,11.03,13.25,1669862.35
2016-03-12,1457827200,13.25,15.18,12,15,1539173.65
2016-03-13,1457913600,15,15,10.5,12.5,1909296.28
2016-03-14,1458000000,12.5,13.45,10,13.09,978794.3
2016-03-15,1458086400,13.09,13.75,12.8,12.92,593048.57
2016-03-16,1458172800,12.92,13,10.2,11.14,1442272.97
2016-03-17,1458259200,11.14,11.47,8.09,10.75,1629668.64
2016-03-18,1458345600,10.75,11.19,9.8,10.55,512234.39
2016-03-19,1458432000,10.55,10.85,9.52,10.06,469675.86
2016-03-20,1458518400,10.06,11.99,9.93,11.97,819534.02
2016-03-21,1458604800,11.97,12.2,10.95,10.96,727727.88
2016-03-22,1458691200,10.96,12.5,10.96,12.29,654062.63
2016-03-23,1458777600,12.29,12.48,10.84,11.13,749565
2016-03-24,1458864000,11.13,11.4,10.51,10.69,555245.29
2016-03-25,1458950400,10.69,11.38,10.58,11,265184.1
2016-03-26,1459036800,11,11.09,10.11,10.5,465235.75
2016-03-27,1459123200,10.5,11.83,10.3,11.58,711407.88
2016-03-28,1459209600,11.58,11.8,11.19,11.73,472412.31
2016-03-29,1459296000,11.73,12.13,11.21,11.88,644259.56
2016-03-30,1459382400,11.88,12.13,11.33,11.41,469619.3
2016-03-31,1459468800,11.41,11.89,11.27,11.63,230341.67
2016-04-01,1459555200,11.63,11.67,11.35,11.61,109565.05
2016-04-02,1459641600,11.61,11.64,11.46,11.58,143804.1
2016-04-03,1459728000,11.58,11.63,10.99,11.1,368905.47
2016-04-04,1459814400,11.1,11.26,10.01,10.39,848156.28
2016-04-05,1459900800,10.39,11.13,10.25,10.79,347894.46
2016-04-06,1459987200,10.79,10.8,9.9,10.08,499584.17
2016-04-07,1460073600,10.08,10.32,9.59,9.74,345107.3
2016-04-08,1460160000,9.74,10.05,9,9.16,582928.98
2016-04-09,1460246400,9.16,9.2,7.35,8.8,1608160.22
2016-04-10,1460332800,8.8,8.95,7.99,8.72,477247.84
2016-04-11,1460419200,8.72,8.72,7.15,7.53,656699.18
2016-04-12,1460505600,7.53,8.76,7,8.02,816613.56
2016-04-13,1460592000,8.02,8.88,8,8.48,331212.2
2016-04-14,1460678400,8.48,8.61,8.12,8.22,182732.33
2016-04-15,1460764800,8.22,8.57,8.15,8.48,267873.74
2016-04-16,1460851200,8.48,9.99,8.48,9.45,763315.62
2016-04-17,1460937600,9.45,9.51,8.46,8.92,588238.26
2016-04-18,1461024000,8.92,9.25,8.55,8.77,471842.85
2016-04-19,1461110400,8.77,8.92,8.35,8.54,721266.7
2016-04-20,1461196800,8.54,8.7,8,8.15,357687.04
2016-04-21,1461283200,8.15,8.37,7.66,7.83,412692.1
