date,time,open,high,low,close,volume
2013-10-23,1382572800,3,3,3,3,8.12
2013-10-24,1382659200,3,3,3,3,0
2013-10-25,1382745600,3,3,3,3,0
2013-10-26,1382832000,3,3,3,3,0
2013-10-27,1382918400,3,3,3,3,0
2013-10-28,1383004800,3,3,3,3,0
2013-10-29,1383091200,3,3,3,3,0
2013-10-30,1383177600,3,3,3,3,0
2013-10-31,1383264000,3,3,3,3,0
2013-11-01,1383350400,3,3,3,3,0
2013-11-02,1383436800,3,3,3,3,0
2013-11-03,1383523200,3,3,3,3,21.81
2013-11-04,1383609600,3,3,3,3,0
2013-11-05,1383696000,3,3,3,3,0
2013-11-06,1383782400,3,3.2,3,3.2,28.8
2013-11-07,1383868800,3.2,3.2,3.2,3.2,2.63
2013-11-08,1383955200,3.2,3.2,3.2,3.2,0
2013-11-09,1384041600,3.2,3.2,3.2,3.2,0
2013-11-10,1384128000,3.2,3.2,3.2,3.2,0
2013-11-11,1384214400,3.2,3.2,3.2,3.2,0
2013-11-12,1384300800,3.2,5,3.2,5,1128.77
2013-11-13,1384387200,5,5,3,3,38
2013-11-14,1384473600,3,5,3,5,50.3
2013-11-15,1384560000,5,5,4.25,4.25,21.54
2013-11-16,1384646400,4.25,4.25,4.25,4.25,0
2013-11-17,1384732800,4.25,5,4.25,5,25
2013-11-18,1384819200,5,10,5,9,272.36
2013-11-19,1384905600,9,9,9,9,22.26
2013-11-20,1384992000,9,9,9,9,850.74
2013-11-21,1385078400,9,11,9,10,658.15
2013-11-22,1385164800,10,14.5,10,12.8,32377.01
2013-11-23,1385251200,12.8,13.8,10,10,96.56
2013-11-24,1385337600,10,14,10,12,2328.81
2013-11-25,1385424000,12,20.5,11,20.5,7634.59
2013-11-26,1385510400,20.5,50,20.5,35.99,14864.46
2013-11-27,1385596800,35.99,65,35.99,46.1,13001.19
2013-11-28,1385683200,46.1,50,30.2,41,11730.18
2013-11-29,1385769600,41,48,38,41,6048.13
2013-11-30,1385856000,41,41.21,24.48,35.3,1676.31
2013-12-01,1385942400,35.3,40.5,29.8,33.51,3620.97
2013-12-02,1386028800,33.51,36.4,32,33,7169.14
2013-12-03,1386115200,33,43,31,32.2,20974.84
2013-12-04,1386201600,32.2,42.99,29,38,24291.88
2013-12-05,1386288000,38,39.2,32,32,7020.76
2013-12-06,1386374400,32,32,11,22.78,7637.81
2013-12-07,1386460800,22.78,28.4,22.78,27.93,2092.79
2013-12-08,1386547200,27.93,32.59,27,31.98,3602.87
2013-12-09,1386633600,31.98,36.6,31.98,35.26,7327.32
2013-12-10,1386720000,35.26,35.26,28.78,31.57,13797.23
2013-12-11,1386806400,31.57,32.93,30.98,31,1459.21
2013-12-12,1386892800,31,33,30.01,30.59,3919.76
2013-12-13,1386979200,30.59,32.39,30.01,30.01,3515.69
2013-12-14,1387065600,30.01,31.8,29.15,30.92,7727.67
2013-12-15,1387152000,30.92,32.13,25,25.77,3419.23
2013-12-16,1387238400,25.77,29,20.01,23.74,5200.48
2013-12-17,1387324800,23.74,23.74,8.48,13,14485.93
2013-12-18,1387411200,13,20,13,19.8,781.76
2013-12-19,1387497600,19.8,22,17.22,18.85,1168.64
2013-12-20,1387584000,18.85,18.85,17.13,17.13,169.56
2013-12-21,1387670400,17.13,19.01,17.13,18,2413.68
2013-12-22,1387756800,18,18.74,16.73,17.2,4050.06
2013-12-23,1387843200,17.2,18,17.2,18,944.91
2013-12-24,1387929600,18,22.06,17.5,22.06,5994.88
2013-12-25,1388016000,22.06,25,21.9,24.97,24203.98
2013-12-26,1388102400,24.97,24.97,22,22.06,7416.26
2013-12-27,1388188800,22.06,23.33,22.06,22.33,270.87
2013-12-28,1388275200,22.33,24.51,22.32,24.51,928.64
2013-12-29,1388361600,24.51,25.18,23.16,24.96,4646.3
2013-12-30,1388448000,24.96,24.98,23.55,23.55,315.99
2013-12-31,1388534400,23.55,25,23.55,24.77,2048.27
2014-01-01,1388620800,24.77,26.6,23.88,26.6,4818.29
2014-01-02,1388707200,26.6,26.6,24.1,25.49,807.61
2014-01-03,1388793600,25.49,25.49,24.05,24.05,417.81
2014-01-04,1388880000,24.05,27,24.05,26.01,16138.62
2014-01-05,1388966400,26.01,31.26,22.23,28.7,12995.74
2014-01-06,1389052800,28.7,29.71,23,23,9318.1
2014-01-07,1389139200,23,26,22.19,24.9,5690.11
2014-01-08,1389225600,24.9,25.79,24,24.5,393.2
2014-01-09,1389312000,24.5,25.79,24,24.06,885.85
2014-01-10,1389398400,24.06,27.62,24.06,26.35,2015.33
2014-01-11,1389484800,26.35,26.45,24,25.39,2208.84
2014-01-12,1389571200,25.39,26.31,24,25.01,20878.49
