date,time,open,high,low,close,volume
2017-06-01,1496361600,0.18,0.2265,0.18,0.2158,10207.03
2017-06-02,1496448000,0.2158,0.248,0.2008,0.2108,41508.15
2017-06-03,1496534400,0.2108,0.232,0.2,0.2139,35140.17
2017-06-04,1496620800,0.2139,0.2787,0.2097,0.2308,36409.42
2017-06-05,1496707200,0.2308,0.2419,0.1988,0.2279,21403.55
2017-06-06,1496793600,0.2279,0.2396,0.2,0.216,12557.29
2017-06-07,1496880000,0.216,0.2234,0.187,0.2188,18371.9
2017-06-08,1496966400,0.2188,0.2278,0.2115,0.2164,31539.99
2017-06-09,1497052800,0.2164,0.225,0.1862,0.1918,22978.17
2017-06-10,1497139200,0.1918,0.2244,0.189,0.2165,19970.13
2017-06-11,1497225600,0.2165,0.25,0.1556,0.1913,16672.03
2017-06-12,1497312000,0.1913,0.2099,0.1794,0.203,15350.7
2017-06-13,1497398400,0.203,0.225,0.1783,0.1944,59285.72
2017-06-14,1497484800,0.1944,0.2031,0.1548,0.1868,58899.77
2017-06-15,1497571200,0.1868,0.204,0.174,0.1858,92350.8
2017-06-16,1497657600,0.1858,0.2033,0.1761,0.2007,62623.89
2017-06-17,1497744000,0.2007,0.2023,0.1795,0.1915,68387.35
2017-06-18,1497830400,0.1915,0.2008,0.189,0.1982,99147.76
2017-06-19,1497916800,0.1982,0.2224,0.1934,0.206,67567.94
2017-06-20,1498003200,0.206,0.2135,0.185,0.1902,48446.35
2017-06-21,1498089600,0.1902,0.1981,0.1862,0.1903,114548.17
2017-06-22,1498176000,0.1903,0.1953,0.1872,0.1926,72551.21
2017-06-23,1498262400,0.1926,0.2005,0.168,0.1773,57092.49
2017-06-24,1498348800,0.1773,0.184,0.158,0.1684,41953.36
2017-06-25,1498435200,0.1684,0.1725,0.1335,0.158,20857.56
2017-06-26,1498521600,0.158,0.1659,0.1331,0.1614,41526.08
2017-06-27,1498608000,0.1614,0.1762,0.1521,0.1692,60037.9
2017-06-28,1498694400,0.1692,0.1754,0.1554,0.1587,124573.04
2017-06-29,1498780800,0.1587,0.1665,0.155,0.1559,151903.39
2017-06-30,1498867200,0.1559,0.1583,0.138,0.1415,112684
2017-07-01,1498953600,0.1415,0.1568,0.1394,0.1561,116519.78
2017-07-02,1499040000,0.1561,0.1781,0.1516,0.1735,120598.21
2017-07-03,1499126400,0.1735,0.195,0.1629,0.187,170093
2017-07-04,1499212800,0.187,0.1871,0.17,0.1736,159731.54
2017-07-05,1499299200,0.1736,0.1781,0.1628,0.1704,189602.66
2017-07-06,1499385600,0.1704,0.1722,0.1506,0.1561,143349.57
2017-07-07,1499472000,0.1561,0.1648,0.146,0.1578,111085.27
2017-07-08,1499558400,0.1578,0.1611,0.1506,0.1521,136190.93
2017-07-09,1499644800,0.1521,0.158,0.144,0.1457,90931.19
2017-07-10,1499731200,0.1457,0.1457,0.1457,0.1457,0
2017-07-11,1499817600,0.1445,0.1445,0.1245,0.1337,51759.85
2017-07-12,1499904000,0.1337,0.1406,0.1126,0.1208,97803.21
2017-07-13,1499990400,0.1208,0.1244,0.1093,0.1177,164335.13
2017-07-14,1500076800,0.1177,0.118,0.1045,0.1098,108814.82
2017-07-15,1500163200,0.1098,0.1128,0.08767,0.09683,119335.91
2017-07-16,1500249600,0.09683,0.1349,0.09681,0.1349,124629.55
2017-07-17,1500336000,0.1349,0.145,0.1153,0.1324,66145.02
