date,time,open,high,low,close,volume
2017-12-29,1514592000,0.4955,0.6941,0.42,0.59,14016860.69
2017-12-30,1514678400,0.59,0.74,0.59,0.71,8971147.7
2017-12-31,1514764800,0.71,0.715,0.632,0.7022,9403559.91
2018-01-01,1514851200,0.7022,0.8,0.675,0.762,6292466.84
2018-01-02,1514937600,0.762,1.1,0.7601,1.1,15269923.65
2018-01-03,1515024000,1.11,1.38,1.04,1.13,14721109.54
2018-01-04,1515110400,1.15,1.3,0.9,1.01,14616848.19
2018-01-05,1515196800,1.01,1.08,0.908,1.04,7036404.33
2018-01-06,1515283200,1.03,1.05,0.979,1.01,3741344.23
2018-01-07,1515369600,1.01,1.02,0.7359,0.9,6765036.61
2018-01-08,1515456000,0.9,0.954,0.772,0.81,4729859.2
2018-01-09,1515542400,0.81,0.8293,0.6559,0.7765,6665172.35
2018-01-10,1515628800,0.78,0.783,0.51,0.68,8794376.36
2018-01-11,1515715200,0.679,0.93,0.631,0.895,7945692.59
2018-01-12,1515801600,0.8983,0.959,0.8329,0.879,6400745.85
2018-01-13,1515888000,0.879,0.89,0.72,0.8,5461450.35
2018-01-14,1515974400,0.8,0.8666,0.75,0.77,3956914.17
2018-01-15,1516060800,0.7724,0.7952,0.45,0.61,14442780.73
2018-01-16,1516147200,0.6,0.6839,0.434,0.6242,15237720.28
2018-01-17,1516233600,0.625,0.6996,0.6,0.65,2108397.87
2018-01-18,1516320000,0.65,0.6964,0.589,0.6441,5750844.38
2018-01-19,1516406400,0.6479,0.7263,0.64,0.7048,3820240.01
2018-01-20,1516492800,0.7049,0.7049,0.5765,0.61,4988683.38
2018-01-21,1516579200,0.6165,0.64,0.51,0.5675,4726783.99
2018-01-22,1516665600,0.5699,0.59,0.5166,0.5601,3765169.01
2018-01-23,1516752000,0.5619,0.65,0.537,0.628,4050649.27
2018-01-24,1516838400,0.63,0.685,0.6185,0.642,3864120.17
2018-01-25,1516924800,0.642,0.655,0.561,0.6268,8406839.7
2018-01-26,1517011200,0.6268,0.642,0.595,0.6213,2640804.41
2018-01-27,1517097600,0.6213,0.67,0.6131,0.6423,3194670.44
2018-01-28,1517184000,0.6423,0.6465,0.583,0.591,2712202.98
2018-01-29,1517270400,0.591,0.603,0.5,0.51,4609867.44
2018-01-30,1517356800,0.5136,0.5136,0.463,0.4976,1004627.4
2017-12-29,1514592000,0.4955,0.6941,0.42,0.59,14016860.69
2017-12-30,1514678400,0.59,0.74,0.59,0.71,8971147.7
2017-12-31,1514764800,0.71,0.715,0.632,0.7022,9403559.91
2018-01-01,1514851200,0.7022,0.8,0.675,0.762,6292466.84
2018-01-02,1514937600,0.762,1.1,0.7601,1.1,15269923.65
2018-01-03,1515024000,1.11,1.38,1.04,1.13,14721109.54
2018-01-04,1515110400,1.15,1.3,0.9,1.01,14616848.19
2018-01-05,1515196800,1.01,1.08,0.908,1.04,7036404.33
2018-01-06,1515283200,1.03,1.05,0.979,1.01,3741344.23
2018-01-07,1515369600,1.01,1.02,0.7359,0.9,6765036.61
2018-01-08,1515456000,0.9,0.954,0.772,0.81,4729859.2
2018-01-09,1515542400,0.81,0.8293,0.6559,0.7765,6665172.35
2018-01-10,1515628800,0.78,0.783,0.51,0.68,8794376.36
2018-01-11,1515715200,0.679,0.93,0.631,0.895,7945692.59
2018-01-12,1515801600,0.8983,0.959,0.8329,0.879,6400745.85
2018-01-13,1515888000,0.879,0.89,0.72,0.8,5461450.35
2018-01-14,1515974400,0.8,0.8666,0.75,0.77,3956914.17
2018-01-15,1516060800,0.7724,0.7952,0.45,0.61,14442780.73
2018-01-16,1516147200,0.6,0.6839,0.434,0.6242,15237720.28
2018-01-17,1516233600,0.625,0.6996,0.6,0.65,2108397.87
2018-01-18,1516320000,0.65,0.6964,0.589,0.6441,5750844.38
2018-01-19,1516406400,0.6479,0.7263,0.64,0.7048,3820240.01
2018-01-20,1516492800,0.7049,0.7049,0.5765,0.61,4988683.38
2018-01-21,1516579200,0.6165,0.64,0.51,0.5675,4726783.99
2018-01-22,1516665600,0.5699,0.59,0.5166,0.5601,3765169.01
2018-01-23,1516752000,0.5619,0.65,0.537,0.628,4050649.27
2018-01-24,1516838400,0.63,0.685,0.6185,0.642,3864120.17
2018-01-25,1516924800,0.642,0.655,0.561,0.6268,8406839.7
2018-01-26,1517011200,0.6268,0.642,0.595,0.6213,2640804.41
2018-01-27,1517097600,0.6213,0.67,0.6131,0.6423,3194670.44
2018-01-28,1517184000,0.6423,0.6465,0.583,0.591,2712202.98
2018-01-29,1517270400,0.591,0.603,0.5,0.51,4609867.44
2018-01-30,1517356800,0.5136,0.5136,0.463,0.4976,1004627.4
