date,time,open,high,low,close,volume
2017-08-04,1501891200,10.5,15.8,10.21,14.12,2170085.32
2017-08-05,1501977600,14.12,17.25,13.3,15.97,2340063.31
2017-08-06,1502064000,18.2,19.93,17.41,19.49,1840059.23
2017-08-07,1502150400,19.49,20.29,15.68,18.25,5170450.88
2017-08-08,1502236800,18.25,23,17.26,22.6,3816168.88
2017-08-09,1502323200,22.6,41.72,21.51,37.6,11987790.71
2017-08-10,1502409600,37.6,40.99,27.75,34.1,13792663.98
2017-08-11,1502496000,34.1,38.56,30.7,37.72,5043840.57
2017-08-12,1502582400,37.72,56.69,35.31,48.5,14965636.31
2017-08-13,1502668800,48.5,54.8,45.4,48.32,11403353.7
2017-08-14,1502755200,48.32,49.5,36.54,47.5,13185942.28
2017-08-15,1502841600,47.5,52.3,44.62,45.99,8417712.29
2017-08-16,1502928000,45.99,46.73,38.63,40.39,11139492.6
2017-08-17,1503014400,40.39,41.76,30.54,38.88,12339332.48
2017-08-18,1503100800,38.88,42,34.07,39.82,7072540.46
2017-08-19,1503187200,39.82,41.2,37.99,38.5,3378503.5
2017-08-20,1503273600,38.5,38.69,34,35.46,3771368.49
2017-08-21,1503360000,35.46,36.36,31.5,35.6,4154705.05
2017-08-22,1503446400,35.6,44.39,35.11,39.88,7045911.89
2017-08-23,1503532800,39.88,42.28,39.36,41.9,2245817.75
2017-08-24,1503619200,41.9,42.6,39.29,40.31,2530672.74
2017-08-25,1503705600,40.31,40.87,37,38.82,1575063.61
2017-08-26,1503792000,38.82,41.13,37,40,1786450.78
2017-08-27,1503878400,40,40.35,37,38.5,1549664.87
2017-08-28,1503964800,38.5,38.71,28.1,33.3,7818803.67
2017-08-29,1504051200,33.3,36.02,30,33.33,3867898.99
2017-08-30,1504137600,33.33,35.3,32.7,33.06,1766185.24
2017-08-31,1504224000,33.06,33.85,28.7,31.8,4515460.25
2017-09-01,1504310400,31.8,34.09,27.29,31.35,5412925.43
2017-09-02,1504396800,31.35,32.88,28.45,30.81,2654754.8
2017-09-03,1504483200,30.81,30.81,16.5,21.81,16213256.19
2017-09-04,1504569600,21.81,24.5,18.5,23.4,8145666.37
2017-09-05,1504656000,23.4,24.67,20.1,21.3,5931400.72
2017-09-06,1504742400,21.3,34,20.21,30.98,17018229.87
2017-09-07,1504828800,30.98,31.3,22.43,25.81,19386202.68
2017-09-08,1504915200,25.81,25.96,22.27,22.6,6741323.97
2017-09-09,1505001600,22.6,24.92,19.63,23.68,9391167.92
2017-09-10,1505088000,23.68,24.54,21.52,21.96,5312923.03
2017-09-11,1505174400,21.96,23.84,19.56,20.87,8759410.01
2017-09-12,1505260800,20.87,21.4,17.64,20.03,8878917.78
2017-09-13,1505347200,20.03,20.84,14.75,15.67,13695390.93
2017-09-14,1505433600,15.67,19.28,13.12,18.72,18778973.37
